PHONE NAME,PHONE MODEL
PHANTOM X2 ,AD8
PHANTOM X2 PRO,AD9
SPARK GO,KE5
SPARK 9T,KH6
SPARK 9 PRO,KH7
SPARK 9 PRO,KH7
SPARK 9,KG5P
SPARK 8,KG6
SPARK 8 P,KG7H
SPARK 8 C ,KG5K
SPARK 7P,KF7J
SPARK 7 PRO,KF6I
SPARK 7,KG6
SPARK 6 GO,KE5
SPARK 5 PRO,KD7
SPARK 6 ,KE7
SPARK 4,KC8
SPARK 2,K7
POVA NEO 5G,LE8
POVA NEO ,LE6
POVA 4 PRO,LG8n
POVA 4,LG7n
POVA 2,LE7
POVA,LD7
POUVOIR 4 PRO,LC8
POUVOIR 4,LC7
POUVOIR 3 PLUS ,LB8
POUVOIR 3 AIR,LC6a
POUVOIR 3,LB7
POUVOIR 2 AIR,LB6
POUVOIR 2,LA7
POP 6 GO,BE6
POP 6,BE7 / BE6J
POP 5 PRO,BD4J
POP 5 LTE,BD4J
POP 5 P,BD3
POP 5,BD2
POP 4,BC2
POP 3,BB2
POP 2 PLUS,BA2
POP 2 F,B1G
POP 2,B1C
POP 1 PRO,
POP 1 LITE,
POP 1,F3
PHANTOM 6 PLUS,PHANTOM 6 PLUS
PHANTOM 6 ,PHANTOM 6
PHANTOM 5,PHANTOM 5
F2,F2
F 2 LTE,F2 LTE
CAMON X PRO,CA8
CAMON X ,CA7
CAMON CX AIR,CXAIR
CAMON CX,CX
CAMON CM,CM
CAMON C9,C9
CAMON C8,C8
CAMON C7,C7
CAMON 19 PRO 5G,CI9
CAMON 19 PRO,CI8
CAMON 19,CI6
CAMON 18P,CH6
CAMON 18I,CG6
CAMON 18 PREMIERE,CH9
CAMON 18,CH7
CAMON 17 PRO,CG8H
CAMON 17,CG6
CAMON 17P,CG7
CAMON 16 S,CD6
CAMON 16 PRO,CE8
CAMON 16 PREMIER,CE9
CAMON 16,CE7
CAMOM 15 PREMIERE,CD8J
CAMON 15 PRO ,CD8
CAMON 15 ,CD7
CAMON 12 PRO,CC9
CAMON 12 ,CC7
CAMON 11 PRO,CF8
CAMON 11,CF7
 PHANTOM X,AC8
,
,
,
INFINIX PHONE NAME AND MODEL ,
INFINIX PHONE NAME,INFINIX PHONE MODEL
ZERO X PRO,X6811
ZERO X NEO,X6810
ZERO ULTRA,X6820
ZERO 8I,X687B
ZERO 8,X687
ZERO 6 PRO,X620B
ZERO 6,X620
ZERO 5G,X6815D
ZERO 5 PRO,X603B
ZERO 5,X603
ZERO 4 PLUS,X555B
ZERO 4,X555
ZERO 3,X552
ZERO 20,X6821
ZERO 2 PRO,X509
ZERO 2,X509
SURF GO,X452B
SMART HD,X612B
SMART 6 PLUS ,X6823
SMART 6 HD ,X6512
SMART 6,X6511
SMART 5,X657/X668
SMART 4 PLUS,X680D
SMART 4 ,X653
SMART 3 PLUS ,X627
SMART 3,X5516
SMART 2 HD,X609B
SMART 2,X5515
S5 PRO,X660
S5 LTE,X652C
S5,X652C
S4 ,X626
S2 PRO,X522
NOTE 9 PLAY,
NOTE 9 ,
NOTE 8I,X683
NOTE 8,X692
NOTE 7 LTE,X656
NOTE 7 ,X690
NOTE 6 ,X610
NOTE 5G,X671
NOTE 5 STYLYS,X605
NOTE 5 ,X604
NOTE 4 ,X573
NOTE 3 PRO,X601
NOTE 3,X601
NOTE 2,X600
NOTE 12I 2022,X677
NOTE 12 VIP ,X672
NOTE 12 TURBO,X670
NOTE 12 PRO 4G,X676B
NOTE 12 I,X6819
NOTE 12 2023,X676C
NOTE 12  PRO 5G,X671B
NOTE 11 S,X698
NOTE 11 PRO,X663/X693
NOTE 11 ,X663/X697
NOTE 10 PRO,X695
NOTE 10,X693
NOTE,
HOT S3X,
HOT S3,
HOT S2,
HOT S,
HOT 9 PRO,X655
HOT 9 PLAY,X680B
HOT 9,X680
HOT 8 LTE,X680/X659
HOT 8,X650
HOT 7 PRO,X625
HOT 7,X624
HOT 6 X,X623
HOT 6 PRO,X608
HOT 6,X606
HOT 5 LITE,X559C
HOT 5,X559
HOT 4 PRO,X556/X5511
HOT 4 LITE,X557
HOT 4,X557
HOT 3,X554
HOT 20 PLAY,X6825
HOT 20 5G,X666
HOT 20 4G,X6826
HOT 20,X6826
HOT 2,X510
HOT 12I,X665
HOT 12 PRO,X668
HOT 12 PLAY,X6816
HOT 12,X6817
HOT 11 S,X6812
HOT 11 2022,X657
HOT 11,X662
HOT 10T,X698/X689C
HOT 10S ,X689
HOT 10 PRO,X695C
HOT 10 PLAY,X688
HOT 10 I,X659/PR652B
HOT 10,X682
HOT,

